ID_no,ID,Time,Sediment,Repeat,DO,DO%,Dotemp,Cond,Condtemp,pH,pHtemp,DOC,DN,SRP,TP,DIC,
1,0control1,0,control,1,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
2,0control2,0,control,2,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
3,0control3,0,control,3,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
4,0control4,0,control,4,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
5,0control5,0,control,5,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
6,0control6,0,control,6,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
7,0natural1,0,natural,1,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
8,0natural2,0,natural,2,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
9,0natural3,0,natural,3,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
10,0natural4,0,natural,4,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
11,0natural5,0,natural,5,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
12,0natural6,0,natural,6,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
13,0autoclaved1,0,autoclaved,1,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
14,0autoclaved2,0,autoclaved,2,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
15,0autoclaved3,0,autoclaved,3,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
16,0autoclaved4,0,autoclaved,4,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
17,0autoclaved5,0,autoclaved,5,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
18,0autoclaved6,0,autoclaved,6,9.47,85,9.5,363,8.1,7.01,8.1,,,0.03,0.0356,,
19,1control1,1,control,1,7.32,70.2,13.2,272,12.3,6.85,13,4.853,1.398,0.054,0.0606,,
20,1control2,1,control,2,8.28,80.2,13.5,266,13.2,6.71,13.7,4.883,1.359,0.057,0.0662,,
21,1control3,1,control,3,6.81,65.7,13.3,274,12.1,6.87,12.4,4.898,1.362,0.057,0.0754,,
22,1control4,1,control,4,10.23,97.6,12.9,290,11.9,6.78,12.4,5.131,1.359,0.05,0.0633,,
23,1control5,1,control,5,10.11,97.3,13.3,288,11.9,6.79,13.2,6.094,1.36,0.04,0.0409,,
24,1control6,1,control,6,10.14,87.5,13.2,289,11.9,6.79,13.2,5.068,1.368,0.034,0.0443,,
25,1natural1,1,natural,1,3.78,13.1,36.2,284,12.1,6.9,13.2,4.748,1.535,0.005,0.0615,,
26,1natural2,1,natural,2,4.12,40.2,13.9,283,12.5,6.9,12.2,4.532,1.557,0.004,0.0759,,
27,1natural3,1,natural,3,7.6,74.1,13.9,308,12.2,6.83,12.3,4.922,1.515,0.004,0.0851,,
28,1natural4,1,natural,4,2.82,26.8,12.8,282,11.2,6.74,10.8,4.687,1.576,0.005,0.1137,,
29,1natural5,1,natural,5,5.06,48,12.7,330,11.4,6.94,11.3,4.414,1.474,0.005,0.1023,,
30,1natural6,1,natural,6,8.01,75.7,12.5,279,11.6,6.71,11.9,4.691,1.434,0.006,0.0519,,
31,1autoclaved1,1,autoclaved,1,8.45,81.2,13.3,273,11.9,6.83,12.1,20.16,4.547,0.098,0.4088,,
32,1autoclaved2,1,autoclaved,2,5.9,56.5,13.1,268,12.1,6.89,11.9,13.2,3.038,0.076,0.1427,,
33,1autoclaved3,1,autoclaved,3,6.88,65.6,12.9,270,11.7,6.89,12.1,8.638,2.016,0.02,0.0725,,
34,1autoclaved4,1,autoclaved,4,8.88,85.3,13.2,295,12.1,6.64,11.7,14.53,3.202,0.026,0.2128,,
35,1autoclaved5,1,autoclaved,5,9.03,86.1,12.8,292,12,6.69,12.6,15.14,3.348,0.013,0.215,,
36,1autoclaved6,1,autoclaved,6,8.59,80.7,12.2,206,11.1,6.67,11.8,25.95,5.424,0.045,0.4945,,
37,24control1,24,control,1,8.9,86.7,14.1,276,13.1,6.87,13.1,4.747,1.386,0.07,0.0814,,
38,24control2,24,control,2,8.78,86,14.4,276,13.2,6.84,13.4,4.313,1.372,0.066,0.0739,,
39,24control3,24,control,3,8.65,84.5,14.2,278,12.9,6.78,12.8,4.462,1.343,0.067,0.0731,,
40,24control4,24,control,4,9.64,94,14.2,291,12.8,6.76,13.2,4.699,1.317,0.049,0.0587,,
41,24control5,24,control,5,9.66,93.7,13.9,289,13.1,6.71,13.1,4.498,1.315,0.049,0.0587,,
42,24control6,24,control,6,9.79,93.6,13.3,291,12.5,6.64,12.7,4.577,1.329,0.051,0.0547,,
43,24natural1,24,natural,1,5.79,56.5,14.2,288,13.4,6.81,13.1,5.477,1.331,0.006,0.0573,,
44,24natural2,24,natural,2,6.55,64.7,14.7,287,13.3,6.77,13.6,5.193,1.357,0.005,0.0354,,
45,24natural3,24,natural,3,5.85,56.7,14.7,314,12.9,6.73,14.3,4.951,1.344,0.005,0.0534,,
46,24natural4,24,natural,4,6.06,58.2,13.5,288,12.8,6.72,13.7,4.709,1.413,0.005,0.0389,,
47,24natural5,24,natural,5,6.1,58.8,13.7,343,12.4,6.8,12.2,4.997,1.426,0.005,0.044,,
48,24natural6,24,natural,6,7.22,68.6,13,289,12.4,6.66,12.3,4.879,1.277,0.007,0.0308,,
49,24autoclaved1,24,autoclaved,1,7.75,75.6,14.2,278,13.2,6.85,13,18.25,4.284,0.08,0.3018,,
50,24autoclaved2,24,autoclaved,2,7.11,69.7,14.2,272,13.2,6.81,13.1,15.2,3.677,0.046,0.1984,,
51,24autoclaved3,24,autoclaved,3,7.39,73,14.7,274,12.7,6.74,12.8,12.98,3.17,0.013,0.0939,,
52,24autoclaved4,24,autoclaved,4,8.12,79,14,298,12.8,6.72,13.6,15.23,3.685,0.021,0.1746,,
53,24autoclaved5,24,autoclaved,5,8.25,79.5,13.7,296,13,6.63,13.3,16.65,3.65,0.014,0.1555,,
54,24autoclaved6,24,autoclaved,6,8.71,83.8,13.6,298,12.3,6.65,12.9,23.74,5.283,0.037,0.4396,,
55,100control1,100,control,1,8.93,56.9,15.6,336,13.2,6.92,12.9,5.62,1.229,0.045,0.0459,,
56,100control2,100,control,2,8.71,86.9,14.8,289,13.1,6.82,13,4.887,1.216,0.041,0.0515,,
57,100control3,100,control,3,8.81,86.9,14.3,292,12.7,6.75,12.8,5.569,1.237,0.032,0.0517,,
58,100control4,100,control,4,9.05,89.4,14.3,300,13,6.71,12.9,5.356,1.334,0.038,0.0418,,
59,100control5,100,control,5,9.09,89.7,14.3,300,12.9,6.64,12.8,4.979,1.305,0.039,0.0472,,
60,100control6,100,control,6,8.9,87.7,14.3,301,12.8,6.52,12.7,,,0.045,0.0541,,
61,100natural1,100,natural,1,7.47,74.4,14.7,297,13,6.81,13,4.596,0.8909,0.003,0.0201,,
62,100natural2,100,natural,2,7.33,72.1,14.2,297,13.1,6.67,14.6,4.774,0.8915,0.004,0.0164,,
63,100natural3,100,natural,3,6.29,61.2,13.8,320,13,6.67,12.8,4.577,0.8034,0.003,0.0173,,
64,100natural4,100,natural,4,5.95,58,12.8,301,12.8,6.62,12.9,4.361,0.8808,0.003,0.0152,,
65,100natural5,100,natural,5,6.7,65.7,14,349,12.6,6.45,12.7,4.566,0.8489,0.004,0.0204,,
66,100natural6,100,natural,6,5.87,56.9,15.6,336,13.2,7.1,12.1,4.31,0.8782,0.004,0.0092,,
67,100autoclaved1,100,autoclaved,1,2.63,28.9,14.2,313,12,6.79,12.9,18.42,4.544,0.01,0.1906,,
68,100autoclaved2,100,autoclaved,2,3.77,36.9,14,296,13.1,6.75,13.3,14.73,3.95,0.007,0.1332,,
69,100autoclaved3,100,autoclaved,3,4.52,45.4,14.9,299,12.7,6.69,12.3,15.43,3.865,0.005,0.1019,,
70,100autoclaved4,100,autoclaved,4,3.21,31.6,14.1,325,13,6.59,13,16.79,4.248,0.005,0.1175,,
71,100autoclaved5,100,autoclaved,5,4.2,41.2,14,322,12.7,6.53,13.1,15.69,4.001,0.004,0.124,,
72,100autoclaved6,100,autoclaved,6,1.69,16.5,14,327,12.4,6.64,13.5,23.3,5.209,0.005,0.3228,,
73,168control1,168,control,1,8.66,88.9,15.7,294,14.4,6.62,13.5,,,0.019,0.0343,,
74,168control2,168,control,2,8.49,87,15.5,299,14.4,6.64,14.3,,,0.009,0.0322,,
75,168control3,168,control,3,8.8,88.3,14.6,301,13.7,6.67,13.2,,,0.03,0.0514,,
76,168control4,168,control,4,8.53,87.5,15.7,308,13.5,6.3,12.9,,,0.017,0.0349,,
77,168control5,168,control,5,8.81,89.1,13.9,305,13.9,6.26,13.5,,,0.02,0.0339,,
78,168control6,168,control,6,8.57,85.5,14.4,307,13.2,6.24,12.8,,,0.014,0.0364,,
79,168natural1,168,natural,1,6.79,68.8,15.1,301,14,6.46,13.4,,,0.004,0.0172,,
80,168natural2,168,natural,2,7.47,76.3,15.5,300,14.3,6.44,13.7,,,0.003,0.0155,,
81,168natural3,168,natural,3,6,66.6,14.9,320,13.9,6.41,13.2,,,0.007,0.0244,,
82,168natural4,168,natural,4,6.08,61.1,14.6,300,14,6.44,13.6,,,0.006,0.0214,,
83,168natural5,168,natural,5,6,60.2,14.7,347,13.9,6.39,13.4,,,0.006,0.0248,,
84,168natural6,168,natural,6,6.25,62,14.1,353,13.1,6.29,12,,,0.005,0.0199,,
85,168autoclaved1,168,autoclaved,1,3.01,29.7,13.9,343,13.4,6.44,13.6,,,0.011,0.2879,,
86,168autoclaved2,168,autoclaved,2,3.2,32.2,14.8,321,14.1,6.51,13.8,,,0.007,0.1645,,
87,168autoclaved3,168,autoclaved,3,4.72,46.6,14,327,13.9,6.56,13.2,,,0.006,0.1033,,
88,168autoclaved4,168,autoclaved,4,3.31,32.7,14,345,14.2,6.27,13.4,,,0.006,0.1243,,
89,168autoclaved5,168,autoclaved,5,4.15,41.9,14.9,345,14.5,6.35,13.5,,,0.004,0.145,,
90,168autoclaved6,168,autoclaved,6,3.08,30.4,13.7,349,13.6,6.15,14.1,,,0.011,0.338,,
91,264control1,264,control,1,8.58,89.5,16.3,308,13.6,6.9,12.7,,,0.031,0.0364,71.12,14.224
92,264control2,264,control,2,8.68,89.4,15.7,312,14.1,6.85,13.6,,,0.021,0.0302,10.02,2.004
93,264control3,264,control,3,8.8,88.8,14.8,313,14.5,6.81,13.6,,,0.039,0.0482,63.99,12.798
94,264control4,264,control,4,8.63,89.2,15.9,319,14,6.61,13.3,,,0.022,0.0322,43.16,8.632
95,264control5,264,control,5,9.09,91,14.4,316,13.9,6.54,14,,,0.024,0.0255,61.95,12.39
96,264control6,264,control,6,8.71,88.3,15,315,13.8,6.58,14.3,,,0.032,0.0349,57.8,11.56
97,264natural1,264,natural,1,7.51,76.5,15.2,319,14.3,7,14.2,,,0.003,0.0094,39.28,7.856
98,264natural2,264,natural,2,7.06,71.8,15.2,315,13.9,6.99,14,,,0.008,0.0075,95.03,19.006
99,264natural3,264,natural,3,6.8,67.8,14.2,325,14.1,6.7,13.9,,,0.009,0.0097,88.86,17.772
100,264natural4,264,natural,4,6.68,67.8,15.1,306,13,6.75,14.5,,,0.009,0.0156,45.72,9.144
101,264natural5,264,natural,5,6.74,67.9,14.7,350,13.8,6.73,13.5,,,0.011,0.0085,41.33,8.266
102,264natural6,264,natural,6,6.72,66.6,14,368,12.9,6.51,12.1,,,0.012,0.0178,57.32,11.464
103,264autoclaved1,264,autoclaved,1,0.89,19,14.5,408,12.8,6.81,13.9,,,0.404,1.0617,134.89,26.978
104,264autoclaved2,264,autoclaved,2,1.97,20.2,15.3,369,14.1,6.88,14.6,,,0.281,0.4892,58.25,11.65
105,264autoclaved3,264,autoclaved,3,3.24,33.2,15.4,371,14.7,6.68,13.8,,,0.033,0.1428,106.19,21.238
106,264autoclaved4,264,autoclaved,4,3.53,35.8,15.1,385,13.8,6.62,13.4,,,0.131,0.3311,109.22,21.844
107,264autoclaved5,264,autoclaved,5,3.06,30.7,14.5,391,14.4,6.63,14.3,,,0.121,0.2998,122.38,24.476
108,264autoclaved6,264,autoclaved,6,3.57,35.1,13.7,387,13,6.41,13.8,,,0.343,0.4882,92.15,18.43
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,313.8333333,,,,,,,,,,,,,
,,,,330.5,,,,,,,,,,,,,
,,,,385.1666667,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,6.715,,,,,,,,,,,,,
,,,,6.78,,,,,,,,,,,,,
,,,,6.671666667,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,0.218833333,,,,,,,,,,,,,
,,,,0.008666667,,,,,,,,,,,,,
,,,,0.028166667,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,0.4688,,,,,,,,,,,,,
,,,,0.011416667,,,,,,,,,,,,,
,,,,0.034566667,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,DO,2.71,,,,,,,,,,,,,
,,,,6.918333333,,,,,,,,,,,,,
,,,,8.748333333,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,4.302833333,,,,,,,,,,,,,
,,,,0.865616667,,,,,,,,,,,,,
,,,,1.2642,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,17.39333333,,,,,,,,,,,,,
,,,,4.530666667,,,,,,,,,,,,,
,,,,5.2822,,,,,,,,,,,,,
