sediment,conc,chem,percentage
control,0.028166667,SRP,0.109916697
natural,0.008666667,SRP,0.035250366
autoclaved,0.218833333,SRP,0.477144315
control,0.034566667,TP,0.134891852
natural,0.011416667,TP,0.046435578
autoclaved,0.4688,TP,1.022171766
control,10.268,DIC,40.06951418
natural,12.25133333,DIC,49.8304593
autoclaved,20.76933333,DIC,45.2854653
control,5.2822,DOC,20.61308802
natural,4.530666667,DOC,18.42780657
autoclaved,17.39333333,DOC,37.92443313
control,1.2642,DN,4.933373571
natural,0.865616667,DN,3.520765855
autoclaved,4.302833333,DN,9.381900059
control,8.748333333,DO,34.13921568
natural,6.918333333,DO,28.13928233
autoclaved,2.71,DO,5.908885423